,operation,file_size_mb,client_pool_size,server_pool_size,executor_type,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,success_count,fail_count,success_rate
96,download,100,1,50,thread,5.4246110916137695,5.4246110916137695,5.4246110916137695,5.4246110916137695,19329975.592555497,19329975.592555497,19329975.592555497,19329975.592555497,1,0,1.0
97,download,100,5,50,thread,24.731971645355223,24.531699657440186,22.28603506088257,26.15973663330078,4254387.321204294,4274371.587139413,4008358.397099401,4705080.99415363,5,0,1.0
98,download,100,50,50,thread,180.604122171402,201.7745144367218,20.976488828659058,225.79341053962708,714374.9435873195,519683.3168623015,464396.19185254007,4998815.619549191,50,0,1.0
99,upload,10,1,50,thread,0.1633222103118896,0.1633222103118896,0.1633222103118896,0.1633222103118896,64202902.838357255,64202902.838357255,64202902.838357255,64202902.838357255,1,0,1.0
100,upload,10,5,50,thread,0.692115306854248,0.7127840518951416,0.6291940212249756,0.7254629135131836,15193982.56162484,14710991.319349231,14453888.413428104,16665384.040975643,5,0,1.0
101,upload,10,50,50,thread,6.264305334091187,6.343514442443848,4.043776273727417,6.90613317489624,1686578.273717997,1652995.51673985,1518325.7742720174,2593061.359038684,50,0,1.0
102,upload,50,1,50,thread,1.7707140445709229,1.7707140445709229,1.7707140445709229,1.7707140445709229,29608846.30736889,29608846.30736889,29608846.30736889,29608846.30736889,1,0,1.0
103,upload,50,5,50,thread,8.821734523773193,8.897867679595947,8.494927644729614,9.04792547225952,5946674.535636617,5892288.11754827,5794565.854984552,6171777.111312731,5,0,1.0
104,upload,50,50,50,thread,91.58055521011352,94.6909078359604,59.36521792411804,96.86491632461548,578194.075391052,553683.5769523181,541256.8553128116,883156.8691791155,50,0,1.0
105,upload,100,1,50,thread,7.067302465438843,7.067302465438843,7.067302465438843,7.067302465438843,14837004.714710323,14837004.714710323,14837004.714710323,14837004.714710323,1,0,1.0
106,upload,100,5,50,thread,29.49373869895935,30.480153560638428,26.637787342071533,31.29812002182007,3567884.296458927,3440192.641792048,3350284.2958905064,3936423.0464588418,5,0,1.0
107,upload,100,50,50,thread,370.5701902914048,382.4478069543839,289.359623670578,388.2282621860504,284558.19505108305,274175.0183180084,270092.6496426712,362378.1323387928,50,0,1.0
